term,idf
11am1130pm,5.06
19,3.96
upper,2.42
dickson,5.06
207478,5.06
6396,3.67
7769,5.06
1030am10pm,3.67
international,1.47
tour,1.59
indianstyle,5.06
indianchinese,5.06
fusion,2.42
sakunthala,5.06
palace,3.67
might,2.66
anywhere,4.36
else,4.36
everpopular,5.06
unexpected,3.67
seafood,2.11
stuffed,3.26
tantalising,3.67
fuse,2.66
dash,3.67
flair,3.96
malayan,3.26
council,3.96
ondeh,3.96
glutinous,3.67
ball,3.11
filled,2.22
liquid,5.06
palm,2.98
coated,4.36
grated,4.36
smoke,3.96
duck,2.86
lemak,3.11
cili,5.06
padi,4.36
linguine,4.36
put,3.11
spin,2.49
italian,3.11
pasta,2.86
kirai,5.06
beef,2.57
rib,2.86
short,1.88
bear,2.49
visual,2.66
resemblance,3.67
net,3.67
side,1.84
sop,4.36
fieryred,5.06
sate,2.66
latenight,3.11
hunger,5.06
pang,3.96
swee,5.06
choon,3.96
dim,3.45
sum,3.26
jalan,2.49
besar,4.36
supper,3.67
around,1.21
since,1.72
1962,5.06
smorgasbord,3.26
hong,2.57
kongstyle,4.36
snack,2.17
small,2.11
steamer,3.45
basket,3.11
bring,1.76
couple,3.26
friend,1.97
asianstyle,3.96
communal,3.45
siew,4.36
mai,5.06
dumpling,3.26
custard,4.36
bun,3.11
66,4.36
218570,5.06
6649,5.06
22,3.45
dunlop,5.06
street,0.88
209350,5.06
9002,5.06
4414,5.06
1130am11pm,3.96
183185187189191193,5.06
208882,5.06
6225,3.96
7788,5.06
monsat,2.75
11am230pm,5.06
6pm6am,5.06
10am3pm,5.06
foodiesmake,5.06
eastbound,5.06
pilgrimage,3.96
agenda,5.06
whether,1.39
craving,2.42
fare,1.66
halal,2.86
feast,2.17
download,2.49
muslim,2.35
visitor,0.95
guide,1.34
itinerary,2.35
information,1.76
wealth,2.57
travelling,2.98
breeze,2.86
geylang,2.98
1st,4.36
stop,2.11
serai,3.96
market,2.11
chow,2.75
nosh,2.86
order,1.97
serving,2.22
farenasi,5.06
padang,3.67
hajjah,4.36
mona,5.06
putu,5.06
piring,5.06
melted,5.06
haig,4.36
situated,3.67
minute,2.42
walk,1.21
hearty,2.28
sin,3.96
huat,4.36
house,1.12
door,2.75
stay,2.35
open,1.59
1am,5.06
crab,2.01
bee,3.26
hoon,4.36
otah,4.36
grilled,2.22
frog,3.96
leg,3.26
something,2.75
lighter,3.96
yong,4.36
24hour,3.45
tau,5.06
huay,4.36
soybean,4.36
pudding,3.45
joint,3.11
grown,2.98
longstanding,3.96
upandcoming,4.36
choice,2.49
stroll,1.62
pop,2.42
mongkok,5.06
kitchen,2.35
dimsum,5.06
indulge,1.84
puff,3.45
slurp,4.36
beach,1.59
devil,4.36
candlenut,3.96
vinegar,3.96
smore,4.36
consommé,5.06
sugee,3.96
semolina,4.36
flour,3.96
these,5.06
eurasian,4.36
fix,3.26
quentin,4.36
chef,1.84
pereira,4.36
showcase,1.92
park,0.96
without,2.42
lagoon,3.11
village,1.92
grub,3.67
spoilt,3.45
haron,5.06
satay,2.66
55where,5.06
skewer,3.96
ketupat,5.06
carrot,3.67
bak,3.11
kut,3.45
teh,3.45
peppery,3.96
han,3.45
jia,4.36
siglap,5.06
continue,3.45
foray,3.26
ampang,5.06
niang,5.06
tou,5.06
fu,4.36
nofrills,3.67
quality,2.11
hakka,3.96
consisting,3.67
primarily,3.96
tofu,3.45
combination,3.96
fishballs,5.06
paired,3.96
lin,5.06
foo,5.06
hip,2.35
coffee,1.92
chill,3.45
quiet,2.66
vibe,2.98
cosy,2.06
dutch,4.36
colony,5.06
waffle,3.11
bagel,5.06
sunday,2.49
brunch,2.66
spend,1.84
warm,5.06
afternoon,2.35
nursing,5.06
cup,2.28
indoors,4.36
bedok,3.67
85,4.36
offering,1.72
stellar,2.66
chor,5.06
mee,2.75
minced,3.67
namely,4.36
xing,5.06
